tender_name,tender_authority,application_start_date,tender_deadline,period,tender_location,date_published,tender_type,source_url,found_keywords,state
67-0990-24 Vor-Ort Beratungen im Rahmen der Solarkampagne  Hannover auf Sonnenfang  in der Stadt Hannover  und der Elektromobilitätskampagne  Hannover stromert,Umwelt und Stadtgrün,2024-11-05,18.11.24,01.01.2025 until 31.12.2025,30167 Hannover,05.11.24,not specified,https://www.myorder.rib.de,Beratung,Bavaria
A 362024 Gestaltung und Realisierung einer Sonderausstellung,Georg-August-Universität Göttingen SdÖR,2024-11-01,26.11.24,not specified,37073 Göttingen,01.11.24,not specified,https://www.myorder.rib.de,Ausstellung,Lower Saxony
2412785060011 Erstellung des Umsetzungskonzeptes nach EG - WRRL FWK 2_F109,Wasserwirtschaftsamt Kronach,2024-10-31,03.12.24,not specified,96317 Kronach,31.10.24,not specified,https://www.myorder.rib.de,Konzept,Bavaria
ZV-L9-24-1667000-412.05 Gutachten zu Potentialen und Möglichkeiten einer Fördermaßnahme zur Reduktion der Lachgasemissionen in der Landwirtschaft in SH,Gebäudemanagement Schleswig-Holstein AöR,2024-10-30,29.11.24,not specified,24103 Kiel,30.10.24,not specified,https://www.myorder.rib.de,Gutachten,Bavaria
651-2024 Baugrundgutachten - Rahmenvertrag,Bezirksamt Spandau von Berlin,2024-10-30,22.11.24,01.01.2025 until 31.12.2026,13597 Berlin,30.10.24,not specified,https://www.myorder.rib.de,Gutachten,Berlin
"INV_24O748002 Museum für Naturkunde Berlin, 1. Projektabschnitt, Planungsleistungen Schadstoffsanierung",Museum für Naturkundemuseum Berlin,2024-10-31,29.11.24,01.01.2025 until 29.06.2029,10115 Berlin,30.10.24,not specified,https://www.myorder.rib.de,Museum,Berlin
18-1024-24 Unterhaltreinigung JuF Beratungsstelle und Jugendhilfeteam Plauener Straße,Personal und Organisation,2024-10-29,06.12.24,01.03.2025 until 28.02.2029,30159 Hannover,29.10.24,not specified,https://www.myorder.rib.de,Beratung,Bavaria
2412785060010 Erstellung des Umsetzungskonzeptes nach EG - WRRL FWK 2_F107,Wasserwirtschaftsamt Kronach,2024-10-25,28.11.24,until 31.12.2025,96317 Kronach,28.10.24,not specified,https://www.myorder.rib.de,Konzept,Bavaria
2024_026_SenWGP V Durchführung einer Multikohortenstudie in der Lehrkräftebildung,"Land Berlin, vertreten durch Senatsverwaltung Wissenschaft, Gesundheit und Pflege",2024-10-25,25.11.24,not specified,10243 Berlin,23.10.24,not specified,https://www.myorder.rib.de,Studie,Berlin
"45-2024 Else-Kienle-Staffel, Umgestaltung einer öffentlichen Grünanlage",Landeshauptstadt Stuttgart - Amt für Stadtplanung und Wohnen,2024-10-25,26.11.24,ab Vertragsschluss,70190 Stuttgart,23.10.24,not specified,https://www.myorder.rib.de,Grünanlage,Baden-Württemberg
StadtErneu_2024_7_Rahmen_Miet Rahmenvertrag für Mieterberatungsleistungen innerhalb des Sanierungsgebiets Pankow Langhansstraße,Bezirksamt Pankow von Berlin,2024-10-23,25.11.24,not specified,13187 Berlin,22.10.24,not specified,https://www.myorder.rib.de,Beratung,Berlin
ZV-PV-24-1593000-4121.06 Beschaffung eines Feldemissionsrasterelektronenmikroskops mit energiedispersiver Röntgenmikroanalyse,Gebäudemanagement Schleswig-Holstein AöR,2024-10-18,18.11.24,16.12.2024 until 30.06.2025,24103 Kiel,17.10.24,not specified,https://www.myorder.rib.de,Analyse,Bavaria
"2024-623-Betriebsarzt-geb Betriebsärztliche und sicherheitstechnische Beratung und Betreuung nach Paragraph 3 und 6 des Arbeitssicherheitsgesetzes ASiG sowie
der DGUV Vorsch...",Münchner Wohnen GmbH,2024-10-16,18.11.24,01.04.2025 until 30.03.2029,80339 München,14.10.24,not specified,https://www.myorder.rib.de,Beratung,Bavaria
BauR I-40214-2024 Objektbezogene Schadensanalyse,"LHM, Baureferat, Verwaltung und Recht",2024-10-16,05.12.24,01.01.2025 until 31.12.2029,81671 München,14.10.24,not specified,https://www.myorder.rib.de,Analyse,Bavaria
"L-0272-24 Kauf, Lieferung und Montage der aufgeführten Grafikproduktionen und ggf. für den fachgerechten Betrieb notwendige Nebenleistungen für das Museum fü...",Stadt Wuppertal,2024-10-15,22.11.24,06.01.2025 until 30.11.2025,42103 Wuppertal,14.10.24,not specified,https://www.myorder.rib.de,Museum,Bavaria
L-0282-24 Raumausstattung für das Museum für Frühindustrialisierung,Stadt Wuppertal,2024-10-13,18.11.24,04.01.2025 until 28.03.2025,42103 Wuppertal,11.10.24,not specified,https://www.myorder.rib.de,Museum,Bavaria
41-0821-24 Erarbeitung eines Konzeptes und Begleitung der Umsetzung eines Media-Guides,Kultur,2024-10-08,26.11.24,12/2024 until 04/2026,30159 Hannover,08.10.24,not specified,https://www.myorder.rib.de,Konzept,Bavaria
FbM_BiKu_2024_01_fbT Erarbeitung eines Fachkonzepts für die Bibliotheksentwicklungsplanung im Bezirk Mitte von Berlin,Bezirksamt Mitte von Berlin,2024-10-02,17.10.24,01.01.2025 until 31.12.2026,10551 Berlin,02.10.24,not specified,https://www.myorder.rib.de,Konzept,Berlin
2024_019_SenWGP Z Rahmenvertrag für Beratungsleistung im Bereich Umsatzsteuer und Tax Compliance Management System,"Land Berlin, vertreten durch Senatsverwaltung Wissenschaft, Gesundheit und Pflege",2024-09-19,27.11.24,01.01.2025 until 31.12.2026,10969 Berlin,18.09.24,not specified,https://www.myorder.rib.de,Beratung,Berlin
Helpdesk und Datenbank-Management für das landesweite Destinationsmanagementsystem Deskline(R),Rheinland-Pfalz Tourismus GmbH,2024-05-28,not specified,not specified,not specified,28.05.24,VgV Vergebener Auftrag,https://vergabe.rlp.de,"Erlebnis, Destination, Tourismus",Rhineland-Palatinate
Island Exkursion,Universität Trier,2024-06-19,not specified,not specified,not specified,19.06.24,UVgO Vergebener Auftrag,https://vergabe.rlp.de,"Erlebnis, Beratung, Studie",Rhineland-Palatinate
"Rahmenvereinbarung für Bundeswehrmaßnahmen im Zuständigkeitsbereich der LBB NL Kaiserslautern-  Fachplanung Bauphysik gem. Anl. 1, Pkt. 1.2 HOAI 2021, sowie in Anlehnung an die AHO Hefte Nr. 23 u. 44","Bundesrepublik Deutschland, vertreten durch d. Bundesministerium d. Verteidigung, vertreten durch d. Amt für Bundesbau (ABB), vertreten durch d. Landesbetrieb Liegenschafts- und Baubetreuung (LBB), NL Kaiserslautern,  vertreten d. d. Niederlassungsleitung",2024-11-06,04.12.24,not specified,not specified,06.11.24,VSVgV TNW,https://vergabe.rlp.de,"Freizeit, Besucher",Rhineland-Palatinate
IT-Services und Support für die Rheinland-Pfalz-Tourismus GmbH,Rheinland-Pfalz Tourismus GmbH,2024-06-06,not specified,not specified,not specified,06.06.24,VgV Vergebener Auftrag,https://vergabe.rlp.de,"Tourismus, Konzept, Beratung, Analyse, Marktforschung",Rhineland-Palatinate
Rahmenvereinbarung für Bundeswehrmaßnahmen im Zuständigkeitsbereich der LBB Niederlassung Kaiserslautern-Leistungen für den bauordnungsrechtlichen Brandschutz in Anlehnung an das AHO Heft Nr. 17,"Bundesrepublik Deutschland, vertreten durch d. Bundesministerium d. Verteidigung, vertreten durch d. Amt für Bundesbau (ABB), vertreten durch d. Landesbetrieb Liegenschafts- und Baubetreuung (LBB)   NL Kaiserslautern, vertreten d. d. Niederlassungsleitung",2024-10-27,25.11.24,not specified,not specified,27.10.24,VSVgV TNW,https://vergabe.rlp.de,Besucher,Rhineland-Palatinate
Rahmenvereinbarung für Bundeswehrmaßnahmen im Zuständigkeitsbereich der LBB Niederlassung Kaiserslautern-  Rückbauplanung in Anlehnung an das AHO Heft Nr. 18 Baufeldfreimachung/Rückbau,"Bundesrepublik Deutschland, vertreten durch d. Bundesministerium d. Verteidigung, vertreten durch d. Amt für Bundesbau (ABB), vertreten durch d. Landesbetrieb Liegenschafts- und Baubetreuung (LBB), NL Kaiserslautern,  vertreten d. d. Niederlassungsleitung",2024-10-20,18.11.24,not specified,not specified,20.10.24,VSVgV TNW,https://vergabe.rlp.de,Besucher,Rhineland-Palatinate
24 D 0115 - Sanierung und Revitalisierung alte Männeranstalt JVA Wittlich  Schadstoffsanierung & Rückbau,"Land Rheinland-Pfalz, vertreten durch das Ministerium der Finanzen, vertreten durch die Zentrale des LBB, vertreten durch den Landesbetrieb für Liegenschafts- und Baubetreuung Niederlassung Trier, vertreten durch die Niederlassungsleitung",2024-11-14,17.12.24,not specified,not specified,14.11.24,VgV TNW,https://vergabe.rlp.de,"Besucher, Konzept, Besucherzentrum, Gutachten",Rhineland-Palatinate
"24D0024 - Zielunterbringung BAAINBw - 1.BA Gneisenau-Kaserne, Koblenz Planung Rückbau Gebäude Baulfeldfreimachung","Bundesrepublik Deutschland, vertreten durch Bundesministerium der Verteidigung, vertreten durch das Amt für Bundesbau (ABB), vertreten durch den Landesbetrieb Liegenschafts- und Baubetreuung (LBB) - Niederlassung Diez, vertreten durch die Niederlassungsle",2024-11-15,16.12.24,not specified,not specified,15.11.24,VgV Ausschreibung,https://vergabe.rlp.de,"Besucher, Konzept",Rhineland-Palatinate
24D0114 - Sanierung und Revitalisierung alte Männeranstalt JVA Wittlich  BNB-Koordination,"Land Rheinland-Pfalz,  vertreten durch das Ministerium der Finanzen, vertreten durch die Zentrale des LBB, vertreten durch den Landesbetrieb Liegenschafts- und Baubetreuung,  Niederlassung Trier, vertreten durch die Niederlassungsleitung",2024-10-23,21.11.24,not specified,not specified,23.10.24,VgV Ausschreibung,https://vergabe.rlp.de,"Besucher, Besucherzentrum",Rhineland-Palatinate
Planung einer Dauerausstellung,Land Rheinland-Pfalz Generaldirektion Kulturelles Erbe,2024-11-15,16.12.24,not specified,not specified,15.11.24,VgV TNW,https://vergabe.rlp.de,"Museum, Ausstellung",Rhineland-Palatinate
"Transport von Kulturgütern   |   Große Landesausstellung ""Marc Aurel. Kaiser, Feldherr,  Philosoph"" (15.6.-23.11.2025)","Generaldirektion Kulturelles Erbe Rheinland-Pfalz, Stabsstelle Organisation/Vergabe, Vergabestelle",2024-11-07,17.12.24,not specified,not specified,07.11.24,VgV Ausschreibung,https://vergabe.rlp.de,"Museum, Ausstellung",Rhineland-Palatinate
"Nichtoffener, einphasiger Kunst-am-Bau-Realisierungswettbewerb mit vorgeschaltetem offenen Bewerbungsverfahren u. anschließendem Verhandlungsverfahren für das Bundeswehrzentralkrankenhaus Koblenz","Bundesrepublik Deutschland, vertr. durch das Bundesministerium der Verteidigung, vertr. durch das Amt für Bundesbau -ABB, vertr. durch den Landesbetrieb LBB, vertr. durch die Niederlassung Koblenz, vertr. durch die Niederlassungsleitung",2022-04-08,not specified,not specified,not specified,08.04.22,VgV Vergebener Auftrag,https://vergabe.rlp.de,"Ausstellung, Konzept",Rhineland-Palatinate
"Aufforderung zur Verhandlung - Staatskanzlei Mainz, Sanierung Sautanzgebäude, Objektplanunng Gebäude gem. Teil 3 Abschnitt 1 HOAI","Land Rheinland-Pfalz, vertreten durch das Ministerium der Finanzen,  vertreten durch den Landesbetrieb Liegenschafts- und Baubetreuung,  Niederlassung Mainz,  vertreten durch die Niederlassungsleitung",2021-10-13,not specified,not specified,not specified,13.10.21,VgV Vergebener Auftrag,https://vergabe.rlp.de,"Ideenskizze, Konzept, Analyse",Rhineland-Palatinate
"20D0498 - Bekanntmachung vergebener Auftrag - Kurmainz-Kaserne, Neubau Wirtschafts- und Betreuungsgebäude, koordinierende Gesamtplanerleistungen (Kopie)","Bundesrepublik Deutschland, vertreten durch d. Bundesministerium der Verteidigung,  vertreten durch d. Amt für Bundesbau -ABB-, vertreten durch d. Landesbetrieb Liegenschafts- u.  Baubetreuung, Niederlassung Mainz, vertreten durch d. Niederlassungsleitung",2022-02-09,not specified,not specified,not specified,09.02.22,VgV Vergebener Auftrag,https://vergabe.rlp.de,"Ideenskizze, Konzept, Beratung",Rhineland-Palatinate
"B35, Rheinbrücke bei GER, Vorland- & Strombrücke, Schadstoffuntersuchungen",LBM Speyer,2024-11-14,13.12.24,not specified,not specified,14.11.24,Sonstige Ausschreibung,https://vergabe.rlp.de,"Konzept, Analyse",Rhineland-Palatinate
Vergabeverfahren Servicestelle Schriftgutverwaltung im Aufgabenbereich von Referat 11.2 am Dienstort Koblenz,"Landesamt für Soziales, Jugend & Versorgung RLP",2024-11-02,27.11.24,not specified,not specified,02.11.24,VgV Ausschreibung,https://vergabe.rlp.de,Konzept,Rhineland-Palatinate
Ärztliche krankenhaushygienische Betreuung,Pfalzklinikum für Psychiatrie und Neurologie AdöR,2024-10-22,21.11.24,not specified,not specified,22.10.24,UVgO Ausschreibung,https://vergabe.rlp.de,Konzept,Rhineland-Palatinate
Vogelmonitoring in EU-Vogelschutzgebieten (VSG-Monitoring) - Pilotprojekt 2025/2026,Landesamt für Umwelt,2024-10-23,21.11.24,not specified,not specified,23.10.24,VgV Ausschreibung,https://vergabe.rlp.de,Konzept,Rhineland-Palatinate
"23D0170 -Bekanntmachung vergebener Auftrag - Amtsgericht Germersheim Brandschutz und barrierefreier Zugang, Fachplanung Technische Ausrüstung (Elektrotechnik KG 440, 450 und 480)","Land Rheinland-Pfalz, vertreten durch das Ministerium der Finanzen, vertreten durch den Landesbetrieb Liegenschafts- und Baubetreuung, Niederlassung Landau, vertreten durch die Niederlassungsleitung",2023-07-29,not specified,not specified,not specified,29.07.23,VgV Vergebener Auftrag,https://vergabe.rlp.de,Konzept,Rhineland-Palatinate
"Bekanntmachung vergebener Auftrag - Amtsgericht Germersheim, Brandschutz und barrierefreier Zugang, Fachplanung Techn. Ausrüstung (Versorgungstechnik gem. Teil 4 Abschnitt 2 HOAI 2021","Land Rheinland-Pfalz, vertreten durch das Ministerium der Finanzen, vertreten durch den Landesbetrieb Liegenschafts- und Baubetreuung, Niederlassung Landau, vertreten durch die Niederlassungsleitung",2023-10-11,not specified,not specified,not specified,11.10.23,VgV Vergebener Auftrag,https://vergabe.rlp.de,Konzept,Rhineland-Palatinate
"Bekanntmachung vergebener Auftrag - Amtsgericht Germersheim Brandschutz und barrierefreier Zugang, Fachplanung Techn. Ausrüstung (Elektrotechnik ) gem. Teil  4 Abschnitt 2 HOAI 2021","Land Rheinland-Pfalz, vertreten durch das Ministerium der Finanzen, vertreten durch den Landesbetrieb Liegenschafts- und Baubetreuung, Niederlassung Landau, vertreten durch die Niederlassungsleitung",2023-10-11,not specified,not specified,not specified,11.10.23,VgV Vergebener Auftrag,https://vergabe.rlp.de,Konzept,Rhineland-Palatinate
Vergabe der externen Begleitung für die Erarbeitung eines gemeinsamen Konzeptes zwischen Land und Kommunen in Rheinland-Pfalz im Themenfeld Integration,"Ministerium für Familie, Frauen, Kultur und Integration",2024-09-10,not specified,not specified,not specified,10.09.24,UVgO Vergebener Auftrag,https://vergabe.rlp.de,Konzept,Rhineland-Palatinate
"Aufforderung zur Verhandlung - Landesblindenschule Neuwied, Internate 1-6 Brandschutzmaßnahmen und Sanierung innen Objektplanung Gebäude gem. Teil 3 Abschnitt 1 HOAI","Land Rheinland-Pfalz, vertreten durch das Ministerium der Finanzen,  vertreten durch den Landesbetrieb Liegenschafts- und Baubetreuung,  Niederlassung Diez,  vertreten durch die Niederlassungsleitung",2021-10-28,not specified,not specified,not specified,28.10.21,VgV Vergebener Auftrag,https://vergabe.rlp.de,Konzept,Rhineland-Palatinate
"21D0268 Aufforderung zur Verhandlung u. Angebotsabgabe - Zielausbau Bundeswehrzentralkrankenhaus Koblenz - Neubau OP-/Funktionsgebäude (1.BA), Techn. Inbetriebnahmemanagement u. Techn. Monitoring","Bundesrepublik Deutschland, vertr. durch das Bundesministerium der Verteidigung, vertr. durch das Amt für Bundesbau -ABB-, vertr. durch den Landesbetrieb LBB, Niederlassung Koblenz, vertr. durch die Niederlassungsleitung",2021-10-31,not specified,not specified,not specified,31.10.21,VgV Vergebener Auftrag,https://vergabe.rlp.de,"Konzept, Masterplan, Machbarkeit, Studie, Machbarkeitsstudie",Rhineland-Palatinate
"Aufforderung zur Verhandlung und zur Angebotsabgabe - Hochschule Trier, Umbau Irminenfreihof Gebäude P, Objektplanung Gebäude gem. Teil 3 Abschnitt 1 HOAI","Land Rheinland-Pfalz,  vertreten durch das Ministerium der Finanzen,  vertreten durch den Landesbetrieb Liegenschafts- und Baubetreuung,  Niederlassung Trier, vertreten durch die Niederlassungsleitung",2022-02-10,not specified,not specified,not specified,10.02.22,VgV Vergebener Auftrag,https://vergabe.rlp.de,"Konzept, Studie",Rhineland-Palatinate
"Integrierte Planung zum Neubau des Berufsbildungszentrums II (BBZ II) und der Hauptverwaltung der Handwerkskammer (HWK) Rheinhessen sowie Abbruchmaßnahmen von Bestandsgebäuden, 55129 Mainz-Hechtsheim",Handwerkskammer Rheinhessen,2022-03-31,not specified,not specified,not specified,31.03.22,VgV Vergebener Auftrag,https://vergabe.rlp.de,"Konzept, Machbarkeit, Beratung, Studie, Machbarkeitsstudie",Rhineland-Palatinate
"Aufforderung zur Verhandlung - Staatskanzlei Mainz Generalsanierung und Erweiterungsbau ""Sautanz""  Objektplanung Freianlagen gem. Teil 3 Abschnitt 2 HOAI","Land Rheinland-Pfalz, vertreten durch das Ministerium der Finanzen,  vertreten durch den Landesbetrieb Liegenschafts- und Baubetreuung,  Niederlassung Mainz,  vertreten durch die Niederlassungsleitung",2023-07-07,not specified,not specified,not specified,07.07.23,VgV Vergebener Auftrag,https://vergabe.rlp.de,Konzept,Rhineland-Palatinate
Aufforderung zur Verhandlung -  Medienversorgung der Südpfalz-Kaserne und des ehemaligen  Luftwaffenmaterialdepots in Germersheim,"Bundesrepublik Deutschland, vertr. durch das Bundesministerium der Verteidigung, vertr. durch das Amt für Bundesbau - ABB -, vertr. durch den Landesbetrieb Liegenschafts- und Baubetreuung, Niederlassung Landau, vertr. durch die Niederlassungslsleitung",2023-07-08,not specified,not specified,not specified,08.07.23,VgV Vergebener Auftrag,https://vergabe.rlp.de,Konzept,Rhineland-Palatinate
ex-post ESF-Beratungsstelle 2025,"Ministerium für Arbeit, Soziales, Transformation und Digitalisierung",2024-10-30,not specified,not specified,not specified,30.10.24,VgV Vergebener Auftrag,https://vergabe.rlp.de,Beratung,Rhineland-Palatinate
"Sozialdienstleistungen für die Aufnahmeeinrichtungen für Asylbegehrende an den Standorten Hahn, Bitburg und Bernkastel-Kues",Zentrale Beschaffungsstelle des Landes Rheinland-Pfalz (ZBL) im Landesbetrieb Mobilität Rheinland-Pfalz,2024-09-18,not specified,not specified,not specified,18.09.24,VgV Vergebener Auftrag,https://vergabe.rlp.de,Beratung,Rhineland-Palatinate
Beratungsstelle zur Anerkennung internationaler Berufsabschlüsse in den Gesundheitsfachberufen,"Ministerium für Arbeit, Soziales, Transformation und Digitalisierung",2024-10-29,22.11.24,not specified,not specified,29.10.24,UVgO Ausschreibung,https://vergabe.rlp.de,Beratung,Rhineland-Palatinate
Beratungs- und Prozessbegleitung von Kommunen für die Realisierung von Wohnangeboten mit Teilhabe 2025,"Landesamt für Soziales, Jugend und Versorgung RLP",2024-11-13,09.12.24,not specified,not specified,13.11.24,UVgO Ausschreibung,https://vergabe.rlp.de,Beratung,Rhineland-Palatinate
"Konversionsmanagement und Bauleitplanung ""Brohl Wellpappe""",Ministerium des Innern und für Sport,2024-11-14,13.12.24,not specified,not specified,14.11.24,VgV Ausschreibung,https://vergabe.rlp.de,Beratung,Rhineland-Palatinate
ERP-System|Beratung IT-Unterstützung,Universität Trier,2024-06-19,not specified,not specified,not specified,19.06.24,UVgO Vergebener Auftrag,https://vergabe.rlp.de,Beratung,Rhineland-Palatinate
Honorarvertrag Suchtberatung,Universität Trier,2024-06-19,not specified,not specified,not specified,19.06.24,UVgO Vergebener Auftrag,https://vergabe.rlp.de,Beratung,Rhineland-Palatinate
Handelspartner-Rahmenvertrag Microsoft-Software,Landesbetrieb Daten und Information Rheinland-Pfalz (LDI),2024-10-31,not specified,not specified,not specified,31.10.24,VgV Vergebener Auftrag,https://vergabe.rlp.de,Beratung,Rhineland-Palatinate
Begleitstudie zur Inwertsetzung von Buschbiomasse in Namibia,Hochschule Trier - Umwelt-Campus Birkenfeld,2024-11-04,25.11.24,not specified,not specified,04.11.24,UVgO Ausschreibung,https://vergabe.rlp.de,Studie,Rhineland-Palatinate
"Hochschule der Polizei - Neubau Lehrleitstelle und Simulationszentrum für ZNuE und Stufenhörsaal Projektsteuerungsleistung in Anlehnung AHO Heft Nr. 9, 5. Auflage 2020","Land Rheinland-Pfalz, vertreten durch das Ministerium der Finanzen, vertreten durch die Zentrale des LBB, vertreten durch den Landesbetrieb Liegenschafts- und Baubetreuung, Niederlassung Idar-Oberstein, vertreten durch die Niederlassungsleitung",2024-01-18,not specified,not specified,not specified,18.01.24,VgV Vergebener Auftrag,https://vergabe.rlp.de,Studie,Rhineland-Palatinate
De Gruyter Evidence-based Selection-/EBS eBooks,Universität Trier,2024-07-18,not specified,not specified,not specified,18.07.24,UVgO Vergebener Auftrag,https://vergabe.rlp.de,Studie,Rhineland-Palatinate
Gewässervermessungen 2024 für das Jahr 2025 als Grundlage für eine 2D-hydrodynamische Modellierung,Landesamt für Umwelt,2024-10-19,18.11.24,not specified,not specified,19.10.24,VgV Ausschreibung,https://vergabe.rlp.de,"Analyse, Plausibilisierung",Rhineland-Palatinate
Lieferung eines lichtmikroskopischen Systems zur automatisiertenen KI-unterstützen Bestimmung von Pollen,DLR Westerwald-Osteifel - Fachzentrum für Bienen und Imkerei,2024-11-08,24.11.24,not specified,not specified,08.11.24,UVgO TNW,https://vergabe.rlp.de,Analyse,Rhineland-Palatinate
Rahmenvereinbarung zur Modernisierung der Fachanwendungen des Hochwasservorhersagedienstes Rheinland-Pfalz,Landesamt für Umwelt,2024-10-27,26.11.24,not specified,not specified,27.10.24,VgV Ausschreibung,https://vergabe.rlp.de,Analyse,Rhineland-Palatinate
"Aufforderung zur Verhandlung - Staatskanzlei Mainz, Sanierung Sautanzgebäude, Fachplanung Tragwerksplanung gem. Teil 4 Abschnitt 1 HOAI","Land Rheinland-Pfalz, vertreten durch das Ministerium der Finanzen,  vertreten durch den Landesbetrieb Liegenschafts- und Baubetreuung,  Niederlassung Mainz,  vertreten durch die Niederlassungsleitung",2021-10-13,not specified,not specified,not specified,13.10.21,VgV Vergebener Auftrag,https://vergabe.rlp.de,Analyse,Rhineland-Palatinate
"Aviotechnische Bodenschutzkalkung mit Hubschrauber in Rheinland- Pfalz 2024, Vergabe-Nr.: BK -02-ZdF-2024",Zentralstelle der Forstverwaltung,2024-10-17,not specified,not specified,not specified,17.10.24,VgV Vergebener Auftrag,https://vergabe.rlp.de,Analyse,Rhineland-Palatinate
Kauf von einem GC-FID für das LUA - ILC KO,Landesuntersuchungsamt,2024-07-29,not specified,not specified,not specified,29.07.24,UVgO Vergebener Auftrag,https://vergabe.rlp.de,Analyse,Rhineland-Palatinate
Ermittlung von Hochwasserwahrscheinlichkeiten für ausgewählte Pegel des rheinland-pfälzischen Pegelnetzes,Landesamt für Umwelt,2024-10-18,not specified,not specified,not specified,18.10.24,UVgO Vergebener Auftrag,https://vergabe.rlp.de,Analyse,Rhineland-Palatinate
Malerarbeiten,Technische Werke Schwedt GmbH,2024-11-05,27.11.24,not specified,not specified,05.11.24,VOB/A Ausschreibung,https://vergabemarktplatz.brandenburg.de,"Erlebnis, Freizeit",Brandenburg
BV Sternenpfad Lieberoser Heide,Stiftung Naturlandschaften Brandenburg,2021-12-06,not specified,not specified,not specified,06.12.21,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Erlebnis,Brandenburg
Wegeinstandsetzung,Stiftung Naturlandschaften Brandenburg,2021-12-06,not specified,not specified,not specified,06.12.21,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Erlebnis,Brandenburg
"Teilnutzungsänderung - ehem. Schulküche Grundschule ""Georg Büchner"" Joachimsthal",Amt Joachimsthal (Schorfheide),2017-01-12,not specified,not specified,not specified,12.01.17,Sonstige Beabsichtigte Ausschreibung,https://vergabemarktplatz.brandenburg.de,Freizeit,Brandenburg
Prüfung ortsveränderlicher Betriebsmittel,Stadt Baruth/Mark,2024-09-17,not specified,not specified,not specified,17.09.24,UVgO Beabsichtigte Ausschreibung,https://vergabemarktplatz.brandenburg.de,Freizeit,Brandenburg
