tender_name,tender_authority,application_start_date,tender_deadline,period,tender_location,date_published,tender_type,source_url,found_keywords,state
Rahmenvereinbarung für Bundeswehrmaßnahmen im Zuständigkeitsbereich der LBB Niederlassung Kaiserslautern-  Rückbauplanung in Anlehnung an das AHO Heft Nr. 18 Baufeldfreimachung/Rückbau,"Bundesrepublik Deutschland, vertreten durch d. Bundesministerium d. Verteidigung, vertreten durch d. Amt für Bundesbau (ABB), vertreten durch d. Landesbetrieb Liegenschafts- und Baubetreuung (LBB), NL Kaiserslautern,  vertreten d. d. Niederlassungsleitung",2024-10-20,18.11.24,not specified,not specified,20.10.24,VSVgV TNW,https://vergabe.rlp.de,Markenwelt,Rhineland-Palatinate
24 D 0115 - Sanierung und Revitalisierung alte Männeranstalt JVA Wittlich  Schadstoffsanierung & Rückbau,"Land Rheinland-Pfalz, vertreten durch das Ministerium der Finanzen, vertreten durch die Zentrale des LBB, vertreten durch den Landesbetrieb für Liegenschafts- und Baubetreuung Niederlassung Trier, vertreten durch die Niederlassungsleitung",2024-11-14,17.12.24,not specified,not specified,14.11.24,VgV TNW,https://vergabe.rlp.de,"Markenwelt, Studie, Analyse",Rhineland-Palatinate
"24D0024 - Zielunterbringung BAAINBw - 1.BA Gneisenau-Kaserne, Koblenz Planung Rückbau Gebäude Baulfeldfreimachung","Bundesrepublik Deutschland, vertreten durch Bundesministerium der Verteidigung, vertreten durch das Amt für Bundesbau (ABB), vertreten durch den Landesbetrieb Liegenschafts- und Baubetreuung (LBB) - Niederlassung Diez, vertreten durch die Niederlassungsle",2024-11-15,16.12.24,not specified,not specified,15.11.24,VgV Ausschreibung,https://vergabe.rlp.de,"Markenwelt, Studie, Analyse",Rhineland-Palatinate
24D0114 - Sanierung und Revitalisierung alte Männeranstalt JVA Wittlich  BNB-Koordination,"Land Rheinland-Pfalz,  vertreten durch das Ministerium der Finanzen, vertreten durch die Zentrale des LBB, vertreten durch den Landesbetrieb Liegenschafts- und Baubetreuung,  Niederlassung Trier, vertreten durch die Niederlassungsleitung",2024-10-23,21.11.24,not specified,not specified,23.10.24,VgV Ausschreibung,https://vergabe.rlp.de,Markenwelt,Rhineland-Palatinate
Planung einer Dauerausstellung,Land Rheinland-Pfalz Generaldirektion Kulturelles Erbe,2024-11-15,16.12.24,not specified,not specified,15.11.24,VgV TNW,https://vergabe.rlp.de,"Ideenskizze, Konzept, Nutzungsidee, Masterplan, Machbarkeit, Beratung",Rhineland-Palatinate
"Transport von Kulturgütern   |   Große Landesausstellung ""Marc Aurel. Kaiser, Feldherr,  Philosoph"" (15.6.-23.11.2025)","Generaldirektion Kulturelles Erbe Rheinland-Pfalz, Stabsstelle Organisation/Vergabe, Vergabestelle",2024-11-07,17.12.24,not specified,not specified,07.11.24,VgV Ausschreibung,https://vergabe.rlp.de,"Ideenskizze, Konzept, Nutzungsidee, Masterplan, Machbarkeit, Beratung",Rhineland-Palatinate
"B35, Rheinbrücke bei GER, Vorland- & Strombrücke, Schadstoffuntersuchungen",LBM Speyer,2024-11-14,13.12.24,not specified,not specified,14.11.24,Sonstige Ausschreibung,https://vergabe.rlp.de,"Studie, Analyse",Rhineland-Palatinate
Vergabeverfahren Servicestelle Schriftgutverwaltung im Aufgabenbereich von Referat 11.2 am Dienstort Koblenz,"Landesamt für Soziales, Jugend & Versorgung RLP",2024-11-02,27.11.24,not specified,not specified,02.11.24,VgV Ausschreibung,https://vergabe.rlp.de,"Studie, Analyse",Rhineland-Palatinate
Ärztliche krankenhaushygienische Betreuung,Pfalzklinikum für Psychiatrie und Neurologie AdöR,2024-10-22,21.11.24,not specified,not specified,22.10.24,UVgO Ausschreibung,https://vergabe.rlp.de,"Studie, Analyse",Rhineland-Palatinate
Vogelmonitoring in EU-Vogelschutzgebieten (VSG-Monitoring) - Pilotprojekt 2025/2026,Landesamt für Umwelt,2024-10-23,21.11.24,not specified,not specified,23.10.24,VgV Ausschreibung,https://vergabe.rlp.de,"Studie, Analyse",Rhineland-Palatinate
"23D0170 -Bekanntmachung vergebener Auftrag - Amtsgericht Germersheim Brandschutz und barrierefreier Zugang, Fachplanung Technische Ausrüstung (Elektrotechnik KG 440, 450 und 480)","Land Rheinland-Pfalz, vertreten durch das Ministerium der Finanzen, vertreten durch den Landesbetrieb Liegenschafts- und Baubetreuung, Niederlassung Landau, vertreten durch die Niederlassungsleitung",2023-07-29,not specified,not specified,not specified,29.07.23,VgV Vergebener Auftrag,https://vergabe.rlp.de,"Studie, Analyse",Rhineland-Palatinate
"Bekanntmachung vergebener Auftrag - Amtsgericht Germersheim, Brandschutz und barrierefreier Zugang, Fachplanung Techn. Ausrüstung (Versorgungstechnik gem. Teil 4 Abschnitt 2 HOAI 2021","Land Rheinland-Pfalz, vertreten durch das Ministerium der Finanzen, vertreten durch den Landesbetrieb Liegenschafts- und Baubetreuung, Niederlassung Landau, vertreten durch die Niederlassungsleitung",2023-10-11,not specified,not specified,not specified,11.10.23,VgV Vergebener Auftrag,https://vergabe.rlp.de,"Studie, Analyse",Rhineland-Palatinate
"Bekanntmachung vergebener Auftrag - Amtsgericht Germersheim Brandschutz und barrierefreier Zugang, Fachplanung Techn. Ausrüstung (Elektrotechnik ) gem. Teil  4 Abschnitt 2 HOAI 2021","Land Rheinland-Pfalz, vertreten durch das Ministerium der Finanzen, vertreten durch den Landesbetrieb Liegenschafts- und Baubetreuung, Niederlassung Landau, vertreten durch die Niederlassungsleitung",2023-10-11,not specified,not specified,not specified,11.10.23,VgV Vergebener Auftrag,https://vergabe.rlp.de,"Studie, Analyse",Rhineland-Palatinate
"Nichtoffener, einphasiger Kunst-am-Bau-Realisierungswettbewerb mit vorgeschaltetem offenen Bewerbungsverfahren u. anschließendem Verhandlungsverfahren für das Bundeswehrzentralkrankenhaus Koblenz","Bundesrepublik Deutschland, vertr. durch das Bundesministerium der Verteidigung, vertr. durch das Amt für Bundesbau -ABB, vertr. durch den Landesbetrieb LBB, vertr. durch die Niederlassung Koblenz, vertr. durch die Niederlassungsleitung",2022-04-08,not specified,not specified,not specified,08.04.22,VgV Vergebener Auftrag,https://vergabe.rlp.de,"Studie, Analyse",Rhineland-Palatinate
"Aufforderung zur Verhandlung - Staatskanzlei Mainz, Sanierung Sautanzgebäude, Objektplanunng Gebäude gem. Teil 3 Abschnitt 1 HOAI","Land Rheinland-Pfalz, vertreten durch das Ministerium der Finanzen,  vertreten durch den Landesbetrieb Liegenschafts- und Baubetreuung,  Niederlassung Mainz,  vertreten durch die Niederlassungsleitung",2021-10-13,not specified,not specified,not specified,13.10.21,VgV Vergebener Auftrag,https://vergabe.rlp.de,"Studie, Analyse",Rhineland-Palatinate
Vergabe der externen Begleitung für die Erarbeitung eines gemeinsamen Konzeptes zwischen Land und Kommunen in Rheinland-Pfalz im Themenfeld Integration,"Ministerium für Familie, Frauen, Kultur und Integration",2024-09-10,not specified,not specified,not specified,10.09.24,UVgO Vergebener Auftrag,https://vergabe.rlp.de,"Studie, Analyse",Rhineland-Palatinate
"Aufforderung zur Verhandlung - Landesblindenschule Neuwied, Internate 1-6 Brandschutzmaßnahmen und Sanierung innen Objektplanung Gebäude gem. Teil 3 Abschnitt 1 HOAI","Land Rheinland-Pfalz, vertreten durch das Ministerium der Finanzen,  vertreten durch den Landesbetrieb Liegenschafts- und Baubetreuung,  Niederlassung Diez,  vertreten durch die Niederlassungsleitung",2021-10-28,not specified,not specified,not specified,28.10.21,VgV Vergebener Auftrag,https://vergabe.rlp.de,"Studie, Analyse",Rhineland-Palatinate
"21D0268 Aufforderung zur Verhandlung u. Angebotsabgabe - Zielausbau Bundeswehrzentralkrankenhaus Koblenz - Neubau OP-/Funktionsgebäude (1.BA), Techn. Inbetriebnahmemanagement u. Techn. Monitoring","Bundesrepublik Deutschland, vertr. durch das Bundesministerium der Verteidigung, vertr. durch das Amt für Bundesbau -ABB-, vertr. durch den Landesbetrieb LBB, Niederlassung Koblenz, vertr. durch die Niederlassungsleitung",2021-10-31,not specified,not specified,not specified,31.10.21,VgV Vergebener Auftrag,https://vergabe.rlp.de,"Studie, Analyse",Rhineland-Palatinate
"20D0498 - Bekanntmachung vergebener Auftrag - Kurmainz-Kaserne, Neubau Wirtschafts- und Betreuungsgebäude, koordinierende Gesamtplanerleistungen (Kopie)","Bundesrepublik Deutschland, vertreten durch d. Bundesministerium der Verteidigung,  vertreten durch d. Amt für Bundesbau -ABB-, vertreten durch d. Landesbetrieb Liegenschafts- u.  Baubetreuung, Niederlassung Mainz, vertreten durch d. Niederlassungsleitung",2022-02-09,not specified,not specified,not specified,09.02.22,VgV Vergebener Auftrag,https://vergabe.rlp.de,"Studie, Analyse",Rhineland-Palatinate
"Aufforderung zur Verhandlung und zur Angebotsabgabe - Hochschule Trier, Umbau Irminenfreihof Gebäude P, Objektplanung Gebäude gem. Teil 3 Abschnitt 1 HOAI","Land Rheinland-Pfalz,  vertreten durch das Ministerium der Finanzen,  vertreten durch den Landesbetrieb Liegenschafts- und Baubetreuung,  Niederlassung Trier, vertreten durch die Niederlassungsleitung",2022-02-10,not specified,not specified,not specified,10.02.22,VgV Vergebener Auftrag,https://vergabe.rlp.de,"Studie, Analyse",Rhineland-Palatinate
"Integrierte Planung zum Neubau des Berufsbildungszentrums II (BBZ II) und der Hauptverwaltung der Handwerkskammer (HWK) Rheinhessen sowie Abbruchmaßnahmen von Bestandsgebäuden, 55129 Mainz-Hechtsheim",Handwerkskammer Rheinhessen,2022-03-31,not specified,not specified,not specified,31.03.22,VgV Vergebener Auftrag,https://vergabe.rlp.de,"Studie, Analyse",Rhineland-Palatinate
"Aufforderung zur Verhandlung - Staatskanzlei Mainz Generalsanierung und Erweiterungsbau ""Sautanz""  Objektplanung Freianlagen gem. Teil 3 Abschnitt 2 HOAI","Land Rheinland-Pfalz, vertreten durch das Ministerium der Finanzen,  vertreten durch den Landesbetrieb Liegenschafts- und Baubetreuung,  Niederlassung Mainz,  vertreten durch die Niederlassungsleitung",2023-07-07,not specified,not specified,not specified,07.07.23,VgV Vergebener Auftrag,https://vergabe.rlp.de,"Studie, Analyse",Rhineland-Palatinate
Aufforderung zur Verhandlung -  Medienversorgung der Südpfalz-Kaserne und des ehemaligen  Luftwaffenmaterialdepots in Germersheim,"Bundesrepublik Deutschland, vertr. durch das Bundesministerium der Verteidigung, vertr. durch das Amt für Bundesbau - ABB -, vertr. durch den Landesbetrieb Liegenschafts- und Baubetreuung, Niederlassung Landau, vertr. durch die Niederlassungslsleitung",2023-07-08,not specified,not specified,not specified,08.07.23,VgV Vergebener Auftrag,https://vergabe.rlp.de,"Studie, Analyse",Rhineland-Palatinate
"Planung, Organisation und Durchführung des Hennefer Stadtfestes Hennef",Stadtbetriebe Hennef,2024-11-07,21.11.24,not specified,not specified,07.11.24,UVgO TNW,https://www.evergabe.nrw.de,"Erlebnis, Freizeit",North Rhine-Westphalia
Prüfung ortsfester elektrischer Anlagen in der ZOOM-Erlebniswelt,Stadtwerke Gelsenkirchen GmbH,2024-11-11,25.11.24,not specified,not specified,11.11.24,Sonstige Ausschreibung,https://www.evergabe.nrw.de,"Erlebnis, Freizeit",North Rhine-Westphalia
Planungsleistungen Affenhaus,Zoo Duisburg gGmbH,2021-04-14,not specified,not specified,not specified,14.04.21,VgV Vergebener Auftrag,https://www.evergabe.nrw.de,"Erlebnis, Freizeit",North Rhine-Westphalia
Markenaktivierung in Dortmund - Strategie und Umsetzung,Vergabe und Beschaffungszentrum Dortmund,2024-11-15,16.12.24,not specified,not specified,15.11.24,VgV TNW,https://www.evergabe.nrw.de,"Erlebnis, Freizeit",North Rhine-Westphalia
Service-Center Dienstleistungen: Angebotswettbewerb,Dortmunder Energie- und Wasserversorgung GmbH,2024-06-27,not specified,not specified,not specified,27.06.24,SektVO Vergebener Auftrag,https://www.evergabe.nrw.de,"Erlebnis, Freizeit",North Rhine-Westphalia
2024-0615 Zukunftsgarten Duisburg IGA 2027 - Fachgutachterliche Begleitung der Erdbauarbeiten (4 Lose),Wirtschaftsbetriebe Duisburg - AöR im Namen und für Rechnung der Stadt Duisburg - Stabsstelle IGA,2024-10-31,03.12.24,not specified,not specified,31.10.24,VgV Ausschreibung,https://www.evergabe.nrw.de,"Erlebnis, Freizeit, Destination, Tourismus, Tourismusförderung, Tourismuskonzept, Tourismuskonzeption",North Rhine-Westphalia
"LWL - Industriemuseum, Zeche Zollern; ""Kinderkeller"" Museumspädagogische Erlebniseinheit für Kinder; Brandschutztüren; 24-310 B",LWL - Bau- und Liegenschaftsbetrieb (LWL-BLB),2024-09-03,not specified,not specified,not specified,03.09.24,VOB/A Vergebener Auftrag,https://www.evergabe.nrw.de,"Erlebnis, Freizeit",North Rhine-Westphalia
VE 300.22.3 Alternative Abdichtung,Allwetterbad der Stadt Monheim am Rhein GmbH,2024-07-18,not specified,not specified,not specified,18.07.24,VOB/A Vergebener Auftrag,https://www.evergabe.nrw.de,"Erlebnis, Freizeit",North Rhine-Westphalia
VE 500.05 Außenanlagen,Allwetterbad der Stadt Monheim am Rhein GmbH,2024-10-10,not specified,not specified,not specified,10.10.24,VOB/A Vergebener Auftrag,https://www.evergabe.nrw.de,"Erlebnis, Freizeit",North Rhine-Westphalia
VE 300.18.5 Beschichtung und Ertüchtigung Stahlteile ex post,Allwetterbad der Stadt Monheim am Rhein GmbH,2024-10-24,not specified,not specified,not specified,24.10.24,VOB/A Vergebener Auftrag,https://www.evergabe.nrw.de,"Erlebnis, Freizeit",North Rhine-Westphalia
Bahia / Hünting: Planungsleistung Tourismus/Freizeit und Sportstätten,Stadt Bocholt,2024-11-11,26.11.24,not specified,not specified,11.11.24,UVgO TNW,https://www.evergabe.nrw.de,"Destination, Tourismus, Tourismusförderung, Tourismuskonzept, Tourismuskonzeption",North Rhine-Westphalia
Planungswettbewerb Neubau Euskirchener City-Forum (EuCF) und Plaza,"Kreisstadt Euskirchen, Der Bürgermeister",2024-07-28,not specified,not specified,not specified,28.07.24,VgV Vergebener Auftrag,https://www.evergabe.nrw.de,"Destination, Tourismus, Tourismusförderung, Tourismuskonzept, Tourismuskonzeption",North Rhine-Westphalia
Leistungen für die Programme der kulturellen Bildung,"Landeshauptstadt Düsseldorf, Der Oberbürgermeister, Rechtsamt",2024-11-11,21.11.24,not specified,not specified,11.11.24,UVgO TNW,https://www.evergabe.nrw.de,"Destination, Tourismus, Tourismusförderung, Tourismuskonzept, Tourismuskonzeption",North Rhine-Westphalia
Interessenbekundung: Landschaftsarchitekturleistungen - Bewegungspark Hiltrup,"Stadt Münster, Zentrales Vergabemanagement",2018-11-27,not specified,not specified,not specified,27.11.18,UVgO Beabsichtigte Ausschreibung,https://www.evergabe.nrw.de,"Destination, Tourismus, Tourismusförderung, Tourismuskonzept, Tourismuskonzeption",North Rhine-Westphalia
Schadstoffsanierung Freizeithaus -  Innen- und Dachsanierung,Stadt Beckum,2024-11-04,21.11.24,not specified,not specified,04.11.24,VOB/A Ausschreibung,https://www.evergabe.nrw.de,"Destination, Tourismus, Tourismusförderung, Tourismuskonzept, Tourismuskonzeption",North Rhine-Westphalia
Planungskonzept zur Landschaftsgestaltung verkippter Flächen am östlichen Seeufer des Tagebaus Garzweiler,Zweckverband LANDFOLGE Garzweiler,2024-10-26,25.11.24,not specified,not specified,26.10.24,VgV Ausschreibung,https://www.evergabe.nrw.de,"Destination, Tourismus, Tourismusförderung, Tourismuskonzept, Tourismuskonzeption",North Rhine-Westphalia
Aufsichtsdienst Museen 2025-2030,Märkischer Kreis,2024-10-27,26.11.24,not specified,not specified,27.10.24,VgV Ausschreibung,https://www.evergabe.nrw.de,"Destination, Tourismus, Tourismusförderung, Tourismuskonzept, Tourismuskonzeption",North Rhine-Westphalia
Bolzplatz Logenstraße - Landschaftsgärtnerische Bauleistungen für Sport- und Freizeitanlagen,"Stadt Mönchengladbach, Dezernat Planen, Bauen, Mobilität, Umwelt - VI/V - Vergabestelle -",2021-01-07,not specified,not specified,not specified,07.01.21,VOB/A Vergebener Auftrag,https://www.evergabe.nrw.de,"Destination, Tourismus, Tourismusförderung, Tourismuskonzept, Tourismuskonzeption",North Rhine-Westphalia
"Sport- und Freizeitanlage am Stadion Niederrhein, Freianlagenplanung",SBO Servicebetriebe Oberhausen - Eigenbetrieb der Stadt Oberhausen,2021-04-12,not specified,not specified,not specified,12.04.21,UVgO Vergebener Auftrag,https://www.evergabe.nrw.de,"Destination, Tourismus, Tourismusförderung, Tourismuskonzept, Tourismuskonzeption",North Rhine-Westphalia
168 - Extratour Skifreizeit im Stubaital WS 24/25,RWTH Aachen University,2024-10-14,not specified,not specified,not specified,14.10.24,UVgO Vergebener Auftrag,https://www.evergabe.nrw.de,"Destination, Tourismus, Tourismusförderung, Tourismuskonzept, Tourismuskonzeption",North Rhine-Westphalia
168 - Extratour Skifreizeit in Davos März 2025,RWTH Aachen University,2024-10-28,not specified,not specified,not specified,28.10.24,UVgO Vergebener Auftrag,https://www.evergabe.nrw.de,"Destination, Tourismus, Tourismusförderung, Tourismuskonzept, Tourismuskonzeption",North Rhine-Westphalia
Sanierung Kunstrasen Jugendfreizeiteinrichtung Icklack,"Landeshauptstadt Düsseldorf, Der Oberbürgermeister, Amt für Recht, Vergabe und Versicherungen, Zentrale Vergabestelle",2024-06-25,not specified,not specified,not specified,25.06.24,VOB/A Vergebener Auftrag,https://www.evergabe.nrw.de,"Destination, Tourismus, Tourismusförderung, Tourismuskonzept, Tourismuskonzeption",North Rhine-Westphalia
Reinigungsleistungen,Stadtwerke Lemgo GmbH,2020-09-23,not specified,not specified,not specified,23.09.20,VgV Vergebener Auftrag,https://www.evergabe.nrw.de,"Destination, Tourismus, Tourismusförderung, Tourismuskonzept, Tourismuskonzeption",North Rhine-Westphalia
Gebäudereinigung in Objekten der Stadt Plettenberg,Stadt Plettenberg,2021-06-09,not specified,not specified,not specified,09.06.21,VgV Vergebener Auftrag,https://www.evergabe.nrw.de,"Destination, Tourismus, Tourismusförderung, Tourismuskonzept, Tourismuskonzeption",North Rhine-Westphalia
"Ex-post: Reinigung der Glas-, Rahmen- und Jalousieflächen an städtischen Gebäuden",Stadt Coesfeld,2024-06-18,not specified,not specified,not specified,18.06.24,VgV Vergebener Auftrag,https://www.evergabe.nrw.de,"Destination, Tourismus, Tourismusförderung, Tourismuskonzept, Tourismuskonzeption",North Rhine-Westphalia
"Niederzier, Ellbachzentrum; Betreuung eines Realisierungswettbewerbs gem. RPW 2013",Starke Projekte GmbH,2024-08-27,not specified,not specified,not specified,27.08.24,VgV Vergebener Auftrag,https://www.evergabe.nrw.de,"Destination, Tourismus, Tourismusförderung, Tourismuskonzept, Tourismuskonzeption",North Rhine-Westphalia
Betreuungsdienstleistung Notunterkünfte GLA und LH,Bezirksregierung Münster,2024-10-31,not specified,not specified,not specified,31.10.24,VgV Vergebener Auftrag,https://www.evergabe.nrw.de,"Destination, Tourismus, Tourismusförderung, Tourismuskonzept, Tourismuskonzeption",North Rhine-Westphalia
Mona Mare VE 300.18.1 Dachabdichtung,Allwetterbad der Stadt Monheim am Rhein GmbH,2024-06-19,not specified,not specified,not specified,19.06.24,VOB/A Vergebener Auftrag,https://www.evergabe.nrw.de,"Destination, Tourismus, Tourismusförderung, Tourismuskonzept, Tourismuskonzeption",North Rhine-Westphalia
VE 300.22.2 Spezialabdichtung,Allwetterbad der Stadt Monheim am Rhein GmbH,2024-07-05,not specified,not specified,not specified,05.07.24,VOB/A Vergebener Auftrag,https://www.evergabe.nrw.de,"Destination, Tourismus, Tourismusförderung, Tourismuskonzept, Tourismuskonzeption",North Rhine-Westphalia
Metallbauarbeiten Röntgen Museum,"Stadt Remscheid, Fachdienst Recht und Vergabe, Abteilung Zentrale Vergabestelle",2024-07-16,not specified,not specified,not specified,16.07.24,VOB/A Vergebener Auftrag,https://www.evergabe.nrw.de,Machbarkeit,North Rhine-Westphalia
Raumausstattung für das Museum für Frühindustrialisierung,Stadt Wuppertal - 404.12 - Haupt- und Personalamt - Beschaffungsservice,2024-10-23,18.11.24,not specified,not specified,23.10.24,VgV Ausschreibung,https://www.evergabe.nrw.de,Machbarkeit,North Rhine-Westphalia
Drucksachen für das Museum Folkwang,"Stadt Essen, Zentrale Vergabestelle",2021-05-07,08.06.21,not specified,not specified,07.05.21,UVgO Ausschreibung,https://www.evergabe.nrw.de,Machbarkeit,North Rhine-Westphalia
Vorabinformation - MiQua. LVR-Jüdisches Museum im Archäologischen Quartier Köln,Gebäudewirtschaft der Stadt Köln,2024-09-13,not specified,not specified,not specified,13.09.24,VOB/A Beabsichtigte Ausschreibung,https://www.evergabe.nrw.de,Machbarkeit,North Rhine-Westphalia
Neugestaltung der Freiflächen am st. Museum Grundstück Deichtorwall 4,"Hansestadt Herford -Der Bürgermeister-, Abteilung 2.3 Stadtplanung, Grünflächen und Geodaten",2024-10-04,not specified,not specified,not specified,04.10.24,UVgO Vergebener Auftrag,https://www.evergabe.nrw.de,Machbarkeit,North Rhine-Westphalia
"LWL - Museum für Naturkunde - Westf. Landesmuseum mit Planetarium, MS; Umbau Planetarium; 21-259 B",LWL - Bau- und Liegenschaftsbetrieb (LWL-BLB),2021-05-05,not specified,not specified,not specified,05.05.21,VOB/A Beabsichtigte Ausschreibung,https://www.evergabe.nrw.de,Machbarkeit,North Rhine-Westphalia
"LWL - Museum für Naturkunde - Westf. Landesmuseum mit Planetarium, MS; Forum Naturwissenschaften; Abbrucharbeiten; 24-387 B",LWL - Bau- und Liegenschaftsbetrieb (LWL-BLB),2024-09-23,not specified,not specified,not specified,23.09.24,VOB/A Vergebener Auftrag,https://www.evergabe.nrw.de,Machbarkeit,North Rhine-Westphalia
"LWL - Museum für Naturkunde - Westf. Landesmuseum mit Planetarium, MS; Forum Naturwissenschaften;  VE04.7 Kampfmittelüberprüfung/-sondierung; 24-270 B",LWL - Bau- und Liegenschaftsbetrieb (LWL-BLB),2024-07-15,not specified,not specified,not specified,15.07.24,VOB/A Vergebener Auftrag,https://www.evergabe.nrw.de,Machbarkeit,North Rhine-Westphalia
"LWL - Museum für Naturkunde Aussenstelle Heiliges Meer, Recke; PV-Anlage; Elektrotechnik; 24-531 Ö",LWL - Bau- und Liegenschaftsbetrieb (LWL-BLB),2024-11-05,05.12.24,not specified,not specified,05.11.24,VOB/A Ausschreibung,https://www.evergabe.nrw.de,Machbarkeit,North Rhine-Westphalia
Sammlungsschränke für die Ornithologische Sammlung am LIB Museum der Natur Hamburg,Leibniz-Institut zur Analyse des Biodiversitätswandels,2024-11-08,29.11.24,not specified,not specified,08.11.24,UVgO Ausschreibung,https://www.evergabe.nrw.de,Machbarkeit,North Rhine-Westphalia
"LWL - Museum für Naturkunde - Westf. Landesmuseum mit Planetarium, MS; Forum Naturwissenschaften; Abbrucharbeiten; 24-094 E",LWL - Bau- und Liegenschaftsbetrieb (LWL-BLB),2024-07-10,not specified,not specified,not specified,10.07.24,VOB/A Vergebener Auftrag,https://www.evergabe.nrw.de,Machbarkeit,North Rhine-Westphalia
"LWL - Museum für Naturkunde - Westf. Landesmuseum mit Planetarium, MS; Forum Naturwissenschaften; Elektrotechnik; 24-312 E",LWL - Bau- und Liegenschaftsbetrieb (LWL-BLB),2024-09-18,not specified,not specified,not specified,18.09.24,VOB/A Vergebener Auftrag,https://www.evergabe.nrw.de,Machbarkeit,North Rhine-Westphalia
"LWL - Museum für Naturkunde - Westf. Landesmuseum mit Planetarium, MS; Forum Naturwissenschaften; Feuerlöschtechnik VE41.1; 24-431 E",LWL - Bau- und Liegenschaftsbetrieb (LWL-BLB),2024-11-07,not specified,not specified,not specified,07.11.24,VOB/A Vergebener Auftrag,https://www.evergabe.nrw.de,Machbarkeit,North Rhine-Westphalia
"LWL - Museum für Naturkunde - Westf. Landesmuseum mit Planetarium, MS; Forum Naturwissenschaften; VE02 Baustelleneinrichtung / Baulogistik; 24-097 E",LWL - Bau- und Liegenschaftsbetrieb (LWL-BLB),2024-06-14,not specified,not specified,not specified,14.06.24,VOB/A Vergebener Auftrag,https://www.evergabe.nrw.de,Machbarkeit,North Rhine-Westphalia
