tender_name,tender_authority,application_start_date,tender_deadline,period,tender_location,date_published,tender_type,source_url,found_keywords,state
RV Lieferung von Besucher und Konferenzstühlen für die unmittelbare und mittelbare Landesverwaltung Brandenburg,Zentraldienst der Polizei des Landes Brandenburg,2024-07-25,23.08.24,not specified,not specified,25.07.24,VgV Ausschreibung,https://vergabemarktplatz.brandenburg.de,Besucher,Brandenburg
Baufestival in Senftenberg,Stadt Senftenberg,2024-07-26,16.08.24,not specified,not specified,26.07.24,UVgO TNW,https://vergabemarktplatz.brandenburg.de,Besucher,Brandenburg
Planungsleistung Geh- Radweg Historische Stadtkerne,"Stadt Oranienburg,der Bürgermeister",2024-08-05,not specified,not specified,not specified,05.08.24,UVgO Beabsichtigte Ausschreibung,https://vergabemarktplatz.brandenburg.de,"Besucher, Gutachten",Brandenburg
"Brandmeldeanlage, Schloss Babelsberg",Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,2024-07-15,14.08.24,not specified,not specified,15.07.24,VOB/A Ausschreibung,https://vergabemarktplatz.brandenburg.de,Besucher,Brandenburg
Neubau Besucherinformationszentrum - Ausstellung Medieninhalte,Stadt Müllrose c/o Amt Schlaubetal,2024-08-02,23.08.24,not specified,not specified,02.08.24,VOL/A Ausschreibung,https://vergabemarktplatz.brandenburg.de,"Besucher, Ausstellung, Informationszentrum, Besucherinformationszentrum",Brandenburg
"Planungsleistung - Herstellung der Außenanlagen für das Funktionsgebäude inkl. Besucherterrasse des Sportzentrums ""Am Wasserturm"" in Forst/Lausitz","Stadt Forst (Lausitz), Die Bürgermeisterin, Fachbereich Bauverwaltung",2024-08-05,20.08.24,not specified,not specified,05.08.24,UVgO TNW,https://vergabemarktplatz.brandenburg.de,Besucher,Brandenburg
Dienstleistungskonzession über die Betreibung des Wasserwanderrastplatzes in Molchow,Stadtverwaltung der Fontanestadt Neuruppin,2024-08-01,not specified,not specified,not specified,01.08.24,Sonstige Beabsichtigte Ausschreibung,https://vergabemarktplatz.brandenburg.de,"Besucher, Konzept",Brandenburg
SiGeKo - ex post,Gebäudewirtschaft Cottbus GmbH,2024-08-01,not specified,not specified,not specified,01.08.24,VgV Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Besucher,Brandenburg
"Abbruch Mauerfragment Schweizer Haus, Besucherzentrum Historische Mühle im Park Sanssouci",Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,2024-03-27,not specified,not specified,not specified,27.03.24,VOB/A Beabsichtigte Ausschreibung,https://vergabemarktplatz.brandenburg.de,"Besucher, Museum, Besucherzentrum",Brandenburg
"WC-Container, Besucherzentrum Historische Mühle im Park Sanssouci",Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,2024-06-11,not specified,not specified,not specified,11.06.24,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Besucher, Besucherzentrum",Brandenburg
"Spezialtiefbau Neugestaltung Besuchereingang, Neues Palais",Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,2024-06-25,not specified,not specified,not specified,25.06.24,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Besucher,Brandenburg
"Besucherzentrum Historische Mühle, Rückbau Pflasterflächen",Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,2024-06-30,not specified,not specified,not specified,30.06.24,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Besucher, Besucherzentrum",Brandenburg
"Rohrleitungs- und Kanalbau, Besucherzentrum Historische Mühle im Park Sanssouci",Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,2024-07-23,not specified,not specified,not specified,23.07.24,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Besucher, Besucherzentrum",Brandenburg
Beschaffung von Mobiliar zur Aufwertung der vorhandenen Besucherbereiche und ungenutzten Flächen im Dienstgebäude Lindenstraße und Dienstgebäude Haus S,"Ministerium für Landwirtschaft, Umwelt und Klimaschutz Brandenburg",2024-08-01,not specified,not specified,not specified,01.08.24,UVgO Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Besucher,Brandenburg
"Präventive Konservierung, Neues Palais, Neugestaltung Besuchereingang",Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,2024-07-10,13.08.24,not specified,not specified,10.07.24,VOB/A Ausschreibung,https://vergabemarktplatz.brandenburg.de,Besucher,Brandenburg
Planungsleistung für die Hallengestaltung der Brandenburg-Halle auf der Grünen Woche Berlin,"Ministerium für Landwirtschaft, Umwelt und Klimaschutz des Landes Brandenburg",2024-06-16,not specified,not specified,not specified,16.06.24,VgV Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Besucher,Brandenburg
Rahmenvertrag Bürodrehstühle,Medizinische Universität Lausitz - Carl Thiem,2024-07-18,not specified,not specified,not specified,18.07.24,VgV Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Besucher,Brandenburg
Um- und Ausbau des ehemaligen Gartenhauses zum innovativen Gemeinschaftshaus Los 17 Büromöbel,Ev. Gesamtkirchengemeinde Temnitz,2024-05-28,not specified,not specified,not specified,28.05.24,UVgO Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Besucher,Brandenburg
Stadt Cottbus OV 136-2024 Sicherheitsdienstleistungen Stadtmuseum und Wendisches Museum,Stadtverwaltung Cottbus,2024-07-10,08.08.24,not specified,not specified,10.07.24,VgV Ausschreibung,https://vergabemarktplatz.brandenburg.de,Museum,Brandenburg
"Neugestaltung der Dauerausstellung im Kleist Museum Frankfurt (Oder), Faberstraße 7 in Frankfurt (Oder)",Stiftung Kleist Museum Frankfurt (Oder),2024-08-01,not specified,not specified,not specified,01.08.24,VgV Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Museum, Ausstellung",Brandenburg
Rekonstruktion und Modernisierung des historischen Gebäudes des Kleist Museums in Frankfurt (Oder); Faberstraße 7 in 15230 Frankfurt (Oder); Los 11.2 Einbau Holzdielung,"Stadt Frankfurt (Oder), Bereich des Oberbürgermeisters, Rechtsamt, Zentrale Vergabestelle",2024-07-29,not specified,not specified,not specified,29.07.24,Sonstige Beabsichtigte Ausschreibung,https://vergabemarktplatz.brandenburg.de,Museum,Brandenburg
Unterhaltsreinigung Kutschstall und Geschäftsstelle der BKG,Brandenburgische Gesellschaft für Kultur und Geschichte gGmbH,2024-08-01,20.09.24,not specified,not specified,01.08.24,UVgO Ausschreibung,https://vergabemarktplatz.brandenburg.de,"Museum, Ausstellung",Brandenburg
Baugrunduntersuchung Neubau Museumsdepot,Stadt Eberswalde,2024-07-26,16.08.24,not specified,not specified,26.07.24,VOL/A Ausschreibung,https://vergabemarktplatz.brandenburg.de,Museum,Brandenburg
Gestaltung In Echt Ausstellung 2024,Brandenburgische Gesellschaft für Kultur und Geschichte gGmbH,2024-08-02,19.08.24,not specified,not specified,02.08.24,UVgO Ausschreibung,https://vergabemarktplatz.brandenburg.de,"Museum, Ausstellung",Brandenburg
"Neugestaltung Gedenk- und Dokumentationszentrum ""Heimat - Freiheit - Unfreiheit"" in der Collegienstraße 10 in Frankfurt (Oder) - Los 1 - Museumsagentur, Los 2 - Museumsgrafik","Stadt Frankfurt (Oder), Bereich des Oberbürgermeisters, Rechtsamt, Zentrale Vergabestelle",2024-08-01,29.08.24,not specified,not specified,01.08.24,UVgO TNW,https://vergabemarktplatz.brandenburg.de,Museum,Brandenburg
"Geräte für Raumklima (Luftbefeuchter/-entfeuchter, Luftreiniger)",Stiftung Fürst-Pückler-Museum Park und Schloss Branitz,2024-07-16,14.08.24,not specified,not specified,16.07.24,VOL/A Ausschreibung,https://vergabemarktplatz.brandenburg.de,"Museum, Ausstellung",Brandenburg
Los K005 Dachdecker- u. Dachklempnerarbeiten,Stadt Kyritz,2024-03-24,not specified,not specified,not specified,24.03.24,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Museum,Brandenburg
Los K015 Holzfußboden inkl. historischer Dielung,Stadt Kyritz,2024-03-24,not specified,not specified,not specified,24.03.24,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Museum,Brandenburg
Los K007 Tischlerarbeiten - Kultur|Kloster|Kyritz,Stadt Kyritz,2024-06-29,not specified,not specified,not specified,29.06.24,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Museum,Brandenburg
Los K003 Zimmermannsarbeiten - Kultur|Kloster|Kyritz,Stadt Kyritz,2024-03-24,not specified,not specified,not specified,24.03.24,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Museum,Brandenburg
Ertüchtigung der Beleuchtung als energetische und gestaltungstechnische Sanierung für das Kunstmuseum für moderne Kunst Dieselkraftwerk Cottbus,Brandenburgische Kulturstiftung Cottbus-Frankfurt (Oder),2024-06-04,not specified,not specified,not specified,04.06.24,VgV Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Museum, Ausstellung, Konzept",Brandenburg
"Sanierung und Umbau des ehem. Lichtspieltheaters der Jugend zum neuen Standort des Brbg. Landesmuseums für Mod. Kunst - BLMK - in Frankfurt (Oder), Los 1-Depotpl., Los 2 - Museumsausst.- u. Lichtplg.","Stadt Frankfurt (Oder), Bereich des Oberbürgermeisters, Rechtsamt, Zentrale Vergabestelle",2024-06-18,not specified,not specified,not specified,18.06.24,VgV Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Museum,Brandenburg
"Konzeption, Gestaltung, Ausführung Museumsausstellung",Stadt Eberswalde,2024-07-23,12.08.24,not specified,not specified,23.07.24,UVgO Ausschreibung,https://vergabemarktplatz.brandenburg.de,"Museum, Ausstellung",Brandenburg
Vitrinenbeleuchtung Archäologisches Landesmuseum Brandenburg,Brandenburgisches Landesamt für Denkmalpflege und Archäologisches Landesmuseum,2024-07-30,28.08.24,not specified,not specified,30.07.24,UVgO Ausschreibung,https://vergabemarktplatz.brandenburg.de,Museum,Brandenburg
Freilandmuseum Lehde - Wohnhaus Oppott - Umbau und Sanierung - Los 09 Trockenbau,Landkreis Oberspreewald-Lausitz,2024-07-23,13.08.24,not specified,not specified,23.07.24,VOB/A Ausschreibung,https://vergabemarktplatz.brandenburg.de,Museum,Brandenburg
Freilandmuseum Lehde - Wohnhaus Oppott - Umbau und Sanierung - Los 11 Parkettlegerarbeiten,Landkreis Oberspreewald-Lausitz,2024-07-25,19.08.24,not specified,not specified,25.07.24,VOB/A Ausschreibung,https://vergabemarktplatz.brandenburg.de,Museum,Brandenburg
Sanierung der Ev. Kirche Sietzing - Archäologie,Ev. Kirchengemeinde Neutrebbin-Oderbruch,2019-05-21,not specified,not specified,not specified,21.05.19,VOB/A Beabsichtigte Ausschreibung,https://vergabemarktplatz.brandenburg.de,Museum,Brandenburg
Beschaffung von Vitrinen für Ausstellung,Hallo Schule e.V.,2024-08-01,11.09.24,not specified,not specified,01.08.24,UVgO Ausschreibung,https://vergabemarktplatz.brandenburg.de,Ausstellung,Brandenburg
Produktion einer Dauerausstellung mit taktilen Elementen (ex post Veröffentlichung),Brandenburgische Provinzial-Genossenschaft des Johanniterordens,2023-11-15,not specified,not specified,not specified,15.11.23,UVgO Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Ausstellung,Brandenburg
"Sonderprogramm Oderbruch: Verbesserung Abflussvermöge Friedländer Strom, 3. BA - Kampfmittelerkundung",Landesamt für Umwelt (LfU),2024-07-10,not specified,not specified,not specified,10.07.24,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Ausstellung,Brandenburg
"Audioproduktion, Produktion Führung Gebärdensprache, Sonderausstellung ""Koloniale Kontexte""",Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,2022-10-05,20.10.22,not specified,not specified,05.10.22,UVgO Ausschreibung,https://vergabemarktplatz.brandenburg.de,Ausstellung,Brandenburg
"Jagdschloss Schorfheide/Erneuerung der Dauerausstellung ""Jagd und Macht"", hier: Ausschreibung der Planungsleistungen (LPHen 1-3) gemäß HOAS-2",Gemeinde Schorfheide,2024-06-20,not specified,not specified,not specified,20.06.24,UVgO Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Ausstellung,Brandenburg
Wittenberge - Planungsleistungen Gebäude Wasserturm und Trinkhalle,Stadtverwaltung Wittenberge,2024-06-07,not specified,not specified,not specified,07.06.24,VgV Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Ausstellung, Studie, Gartenschau",Brandenburg
Wittenberge - Planungsleistungen Tragwerksplanung Wasserturm und Trinkhalle,Stadtverwaltung Wittenberge,2024-06-07,not specified,not specified,not specified,07.06.24,VgV Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Ausstellung, Studie, Gartenschau",Brandenburg
Stufe 2: Neubau Verwaltungsstandort,Abfallentsorgungsverband Schwarze Elster,2024-07-05,not specified,not specified,not specified,05.07.24,VgV Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Ideenskizze,Brandenburg
Vergabe von Sicherungsdienstleistungen für den Landkreis Havelland,Landkreis Havelland - Der Landrat -,2024-08-01,not specified,not specified,not specified,01.08.24,VgV Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Ideenskizze,Brandenburg
Verkehrsführungskonzept und Aufstellung Vergabeunterlagen LP 6; B 97 und LP 5 und 6 B 156 OU Spremberg-Schwarze Pumpe,"Landesbetrieb Straßenwesen Brandenburg, Dienststätte Cottbus",2024-07-11,not specified,not specified,not specified,11.07.24,UVgO Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Konzept,Brandenburg
Konzeption und Umsetzung des Programms sowie Betrieb des Kochstudios in der Brandenburg-Halle auf der Grünen Woche 2025 (GW 2025),"Ministerium für Landwirtschaft, Umwelt und Klimaschutz Brandenburg",2024-07-25,not specified,not specified,not specified,25.07.24,UVgO Beabsichtigte Ausschreibung,https://vergabemarktplatz.brandenburg.de,Konzept,Brandenburg
Standortkonzept für Freiflächen-Photovoltaik,"Stadt Oranienburg,der Bürgermeister",2024-07-22,not specified,not specified,not specified,22.07.24,UVgO Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Konzept,Brandenburg
SDEI Müncheberg Klimaschrank,Senckenberg Gesellschaft für Naturforschung,2024-07-08,not specified,not specified,not specified,08.07.24,Sonstige Beabsichtigte Ausschreibung,https://vergabemarktplatz.brandenburg.de,Konzept,Brandenburg
Logistik- und Versorgungskonzept MUL-CT,Medizinische Universität Lausitz - Carl Thiem,2024-07-26,22.08.24,not specified,not specified,26.07.24,UVgO Ausschreibung,https://vergabemarktplatz.brandenburg.de,"Konzept, Analyse",Brandenburg
Planungsleistungen für Tages- und Kunstlichtplanung in Anlhnung an Anlage 15 zu Paraprph 55 der HOAI,Stiftung Gebäudeensemble Joachimsthalsches Gymnasium Templin,2024-07-22,26.08.24,not specified,not specified,22.07.24,VOL/A Ausschreibung,https://vergabemarktplatz.brandenburg.de,"Konzept, Masterplan, Gutachten",Brandenburg
"Stadt Cottbus - VHVmöTw  123-2024 Technische Gebäudeausrüstung Fachplanung HLS, ALG 1 - 3 - Nachhaltige Bildung für die Zukunft im PZNU",Stadtverwaltung Cottbus,2024-06-20,07.08.24,not specified,not specified,20.06.24,VgV TNW,https://vergabemarktplatz.brandenburg.de,Konzept,Brandenburg
Interessenbekundungsverfahren - Errichtung eines Feuerwehrgebäudes für die Gemeinde Werben,Amt Burg (Spreewald) für die Gemeinde Werben,2024-07-16,16.09.24,not specified,not specified,16.07.24,Sonstige TNW,https://vergabemarktplatz.brandenburg.de,"Konzept, Machbarkeit, Studie, Machbarkeitsstudie",Brandenburg
"Sensordatenplattform - Konzeptionierung, Implementierung und Einführung",Leibniz-Institut für Agrartechnik und Bioökonomie e.V. (ATB),2024-07-12,13.08.24,not specified,not specified,12.07.24,VgV TNW,https://vergabemarktplatz.brandenburg.de,Konzept,Brandenburg
Planungsleistungen - Umbau Rathaus,Stadt Luckenwalde Kreisstadt des Kreises Teltow-Fläming,2017-02-13,not specified,not specified,not specified,13.02.17,VOL/A Beabsichtigte Ausschreibung,https://vergabemarktplatz.brandenburg.de,"Konzept, Beratung",Brandenburg
Los 1 Erstellung Grünflächenmanagement Los 2 Erstellung Stadtbaumkonzept,Stadtverwaltung Hohen Neuendorf,2024-07-19,26.08.24,not specified,not specified,19.07.24,UVgO Ausschreibung,https://vergabemarktplatz.brandenburg.de,Konzept,Brandenburg
Nachfolgezentrale,Aufbau einer Nachfolgezentrale für die Kontaktanbahnung im Nachfolgeprozess im Land Brandenburg (Software und Webanwendung),2024-08-01,not specified,not specified,not specified,01.08.24,UVgO Beabsichtigte Ausschreibung,https://vergabemarktplatz.brandenburg.de,Konzept,Brandenburg
Umrüstung Bühnenbeleuchtung Kammerbühne Cottbus,Brandenburgische Kulturstiftung Cottbus-Frankfurt (Oder),2024-05-31,not specified,not specified,not specified,31.05.24,VgV Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Konzept,Brandenburg
Umrüstung Bühnenbeleuchtung Staatstheater Cottbus,Brandenburgische Kulturstiftung Cottbus-Frankfurt (Oder),2024-05-31,not specified,not specified,not specified,31.05.24,VgV Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Konzept,Brandenburg
Bildungscampus Wittstock/Dosse - Schulzentrum,Stadt Wittstock/Dosse - Der Bürgermeister,2019-05-07,03.06.19,not specified,not specified,07.05.19,VgV TNW,https://vergabemarktplatz.brandenburg.de,Konzept,Brandenburg
Medien- und Energiekonzept,Medizinische Universität Lausitz - Carl Thiem,2024-07-16,19.08.24,not specified,not specified,16.07.24,UVgO Ausschreibung,https://vergabemarktplatz.brandenburg.de,Masterplan,Brandenburg
Regionale Stoffstromanalyse und Prüfung der Machbarkeit des Ausbaus der Medientrassen und der Etablierung von FuE-Strukturen am Standort Schwedt/Oder,Stadt Schwedt/Oder,2024-05-15,not specified,not specified,not specified,15.05.24,VgV Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Machbarkeit, Studie, Analyse, Machbarkeitsstudie",Brandenburg
Stadt Cottbus - TNW 157/2024 Erstellung einer Machbarkeitsstudie für ein Bildungsportal,Stadtverwaltung Cottbus,2024-07-23,07.08.24,not specified,not specified,23.07.24,UVgO TNW,https://vergabemarktplatz.brandenburg.de,"Machbarkeit, Studie, Machbarkeitsstudie",Brandenburg
"Stadt Cottbus - VHVmöTw 146/2024 - barrierefreier Zugang Eingangsbereich Tierpark: Technische Gebäudeausrüstung Fachplanung HLS,  ALG 1 - 3 gemäß HOAI 2021",Stadtverwaltung Cottbus,2024-07-18,19.08.24,not specified,not specified,18.07.24,VgV TNW,https://vergabemarktplatz.brandenburg.de,"Machbarkeit, Studie, Machbarkeitsstudie, Gutachten",Brandenburg
"Neugestaltung der Karl-Marx-Straße (K7148), in Guben Erstellung einer Machbarkeitsstudie",Stadt Guben,2024-07-30,not specified,not specified,not specified,30.07.24,UVgO Beabsichtigte Ausschreibung,https://vergabemarktplatz.brandenburg.de,"Machbarkeit, Studie, Machbarkeitsstudie",Brandenburg
Machbarkeitsstudie zur Stützung des oberirdischen und unterirdischen Wasserdargebots im Einzugsgebiet des Straussees Phase 2,Stadt Strausberg,2024-03-06,not specified,not specified,not specified,06.03.24,VgV Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Machbarkeit, Studie, Machbarkeitsstudie",Brandenburg
Machbarkeitsstudie zur Stützung des oberirdischen und unterirdischen Wasserdargebots im Einzugsgebiet des Straussees Phase 2  - Teil 2 Probenahme und Analytik,Stadt Strausberg,2024-03-20,not specified,not specified,not specified,20.03.24,VgV Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Machbarkeit, Studie, Machbarkeitsstudie",Brandenburg
Planungsleistungen Objektplanung Gebäude,Landkreis Ostprignitz- Ruppin,2024-06-11,not specified,not specified,not specified,11.06.24,VgV Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Machbarkeit, Studie, Machbarkeitsstudie",Brandenburg
Friedenthaler Brücke Planung Lph 1-4,"Stadt Oranienburg,der Bürgermeister",2024-05-14,not specified,not specified,not specified,14.05.24,UVgO Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Machbarkeit, Machbarkeitsstudie",Brandenburg
Kita Köritz Los 15 Schlossarbeiten ex post,Amt Neustadt (Dosse),2024-07-09,not specified,not specified,not specified,09.07.24,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Machbarkeit, Machbarkeitsstudie",Brandenburg
externe Fachberatung Forschungsprojekt Lehmbau,Fachhochschule Potsdam,2024-08-01,not specified,not specified,not specified,01.08.24,UVgO Beabsichtigte Ausschreibung,https://vergabemarktplatz.brandenburg.de,Beratung,Brandenburg
Rahmenvereinbarung über die Inanspruchnahme von Rechtsberatungs- und Dienstleistungen von Patentanwaltskanzleien bei Schutzrechtsanmeldungen,Helmholtz-Zentrum hereon GmbH,2024-06-11,not specified,not specified,not specified,11.06.24,UVgO Beabsichtigte Ausschreibung,https://vergabemarktplatz.brandenburg.de,Beratung,Brandenburg
"Kontinuierlicher zielgruppenspezifischer Beratungsfachdienst für Asylbewerber, ankerkannte Asylberechtigte und Spätaussiedler im Landkreis Potsdam-Mittelmark",Landkreis Potsdam-Mittelmark,2024-07-18,20.08.24,not specified,not specified,18.07.24,VgV Ausschreibung,https://vergabemarktplatz.brandenburg.de,Beratung,Brandenburg
