tender_name,tender_authority,application_start_date,tender_deadline,period,tender_location,date_published,tender_type,source_url,found_keywords,state
VE 500.05 Außenanlagen,Allwetterbad der Stadt Monheim am Rhein GmbH,2024-10-10,not specified,not specified,not specified,10.10.24,VOB/A Vergebener Auftrag,https://www.evergabe.nrw.de,"Erlebnis, Freizeit",North Rhine-Westphalia
VE 300.18.5 Beschichtung und Ertüchtigung Stahlteile ex post,Allwetterbad der Stadt Monheim am Rhein GmbH,2024-10-24,not specified,not specified,not specified,24.10.24,VOB/A Vergebener Auftrag,https://www.evergabe.nrw.de,"Erlebnis, Freizeit",North Rhine-Westphalia
Helpdesk und Datenbank-Management für das landesweite Destinationsmanagementsystem Deskline(R),Rheinland-Pfalz Tourismus GmbH,2024-05-28,not specified,not specified,not specified,28.05.24,VgV Vergebener Auftrag,https://vergabe.rlp.de,Erlebnis,Rhineland-Palatinate
Island Exkursion,Universität Trier,2024-06-19,not specified,not specified,not specified,19.06.24,UVgO Vergebener Auftrag,https://vergabe.rlp.de,Erlebnis,Rhineland-Palatinate
"Rahmenvereinbarung für Bundeswehrmaßnahmen im Zuständigkeitsbereich der LBB NL Kaiserslautern-  Fachplanung Bauphysik gem. Anl. 1, Pkt. 1.2 HOAI 2021, sowie in Anlehnung an die AHO Hefte Nr. 23 u. 44","Bundesrepublik Deutschland, vertreten durch d. Bundesministerium d. Verteidigung, vertreten durch d. Amt für Bundesbau (ABB), vertreten durch d. Landesbetrieb Liegenschafts- und Baubetreuung (LBB), NL Kaiserslautern,  vertreten d. d. Niederlassungsleitung",2024-11-06,04.12.24,not specified,not specified,06.11.24,VSVgV TNW,https://vergabe.rlp.de,"Freizeit, Destination",Rhineland-Palatinate
Malerarbeiten,Technische Werke Schwedt GmbH,2024-11-05,27.11.24,not specified,not specified,05.11.24,VOB/A Ausschreibung,https://vergabemarktplatz.brandenburg.de,"Erlebnis, Freizeit, Destination",Brandenburg
BV Sternenpfad Lieberoser Heide,Stiftung Naturlandschaften Brandenburg,2021-12-06,not specified,not specified,not specified,06.12.21,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Erlebnis,Brandenburg
Wegeinstandsetzung,Stiftung Naturlandschaften Brandenburg,2021-12-06,not specified,not specified,not specified,06.12.21,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Erlebnis,Brandenburg
"Teilnutzungsänderung - ehem. Schulküche Grundschule ""Georg Büchner"" Joachimsthal",Amt Joachimsthal (Schorfheide),2017-01-12,not specified,not specified,not specified,12.01.17,Sonstige Beabsichtigte Ausschreibung,https://vergabemarktplatz.brandenburg.de,"Freizeit, Destination",Brandenburg
Prüfung ortsveränderlicher Betriebsmittel,Stadt Baruth/Mark,2024-09-17,not specified,not specified,not specified,17.09.24,UVgO Beabsichtigte Ausschreibung,https://vergabemarktplatz.brandenburg.de,"Freizeit, Destination",Brandenburg
"Bahnhof Gransee - Umbau zum Jugendfreizeitzentrum, Los 4 - Starkstromanlagen u. Fernmelde- und Informationstechnik","Amt Gransee und Gemeinden, Fachbereich I",2024-10-08,not specified,not specified,not specified,08.10.24,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Freizeit, Destination",Brandenburg
Errichtung eines 4-geschossigen Wohnheims in Cottbus; VE 04 - Technische Ausrüstung (AG 4 bis 8),Berufsförderungswerk der Bauindustrie  Berlin-Brandenburg e.V.,2024-10-22,21.11.24,not specified,not specified,22.10.24,VgV Ausschreibung,https://vergabemarktplatz.brandenburg.de,"Freizeit, Destination",Brandenburg
"eisenhüttenstädter Freizeitzentrum, 15890 Eisenhüttenstadt Neuanbindung Regenentwässerung Hof","Stadt Eisenhüttenstadt, Fachbereich Stadtentwicklung",2024-08-23,not specified,not specified,not specified,23.08.24,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Freizeit, Destination",Brandenburg
Um- und Ausbau Güterschuppen Bernau - Planungsleistungen (Angebotsphase),Stadt Bernau bei Berlin,2024-06-16,not specified,not specified,not specified,16.06.24,VgV Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Freizeit, Destination",Brandenburg
"Rote Kaserne West - WA8 - Planungsleistung Technische Gebäudeausrüstung für die Anlagengruppen 1-3,gemäß § 53 - 56 HOAI",ProPotsdam GmbH,2024-08-27,not specified,not specified,not specified,27.08.24,VgV Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Freizeit, Destination",Brandenburg
Errichtung eines 4-geschossigen Wohnheims in Cottbus; VE 03 - Technische Ausrüstung (AG 1 bis 3),Berufsförderungswerk der Bauindustrie  Berlin-Brandenburg e.V.,2024-10-24,not specified,not specified,not specified,24.10.24,VgV Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Freizeit, Destination",Brandenburg
Errichtung eines 4-geschossigen Wohnheims in Cottbus; VE 01 - Objektplanung Gebäude (Architektur): (LP 5 bis 9),Berufsförderungswerk der Bauindustrie  Berlin-Brandenburg e.V.,2024-10-24,not specified,not specified,not specified,24.10.24,VgV Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Freizeit, Destination",Brandenburg
Errichtung eines 4-geschossigen Wohnheims in Cottbus; VE 02 - Tragwerksplanung: (LP 3 bis 6 und 8),Berufsförderungswerk der Bauindustrie  Berlin-Brandenburg e.V.,2024-10-24,not specified,not specified,not specified,24.10.24,VgV Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Freizeit, Destination",Brandenburg
Errichtung eines 4-geschossigen Wohnheims in Cottbus; VE 05 - Freianlagen,Berufsförderungswerk der Bauindustrie  Berlin-Brandenburg e.V.,2024-10-24,not specified,not specified,not specified,24.10.24,VgV Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Freizeit, Destination",Brandenburg
